"GeneID_clean","GeneSymbol","n_events","event_types","max_abs_dPSI"
"ENSMUSG00000058486","Wdr91",2,"SE",0.494
"ENSMUSG00000058498","Rnf207",1,"SE",0.136
"ENSMUSG00000058503","Fam133b",1,"A3SS",0.1
"ENSMUSG00000058586","Serhl",1,"SE",0.245
"ENSMUSG00000058966","Tlcd3b",3,"A3SS,MXE",0.476
"ENSMUSG00000059149","Mfsd4a",1,"SE",0.26
"ENSMUSG00000059273","Zc3h4",1,"SE",0.165
"ENSMUSG00000059439","Bcas3",1,"SE",0.22
"ENSMUSG00000059474","Mbtd1",3,"SE",0.288
"ENSMUSG00000059475","Zfp426",1,"MXE",0.125
"ENSMUSG00000059479","B3gnt8",1,"SE",0.75
"ENSMUSG00000059939","9430015G10Rik",1,"RI",0.111
"ENSMUSG00000060002","Chpt1",1,"SE",0.182
"ENSMUSG00000060373","Hnrnpc",1,"RI",0.151
"ENSMUSG00000060568","Fam78b",1,"A5SS",0.115
"ENSMUSG00000060791","Gmfg",1,"SE",0.251
"ENSMUSG00000061046","Haghl",1,"RI",0.181
"ENSMUSG00000061136","Prpf40a",1,"A3SS",0.145
"ENSMUSG00000061186","Sfmbt2",2,"SE,MXE",0.137
"ENSMUSG00000061322","Dnai1",1,"RI",0.259
"ENSMUSG00000061882","Ccdc62",2,"SE",0.311
"ENSMUSG00000062132","Arhgap33os",1,"RI",0.26
"ENSMUSG00000062198","2700097O09Rik",1,"SE",0.14
"ENSMUSG00000063142","Kcnma1",1,"SE",0.101
"ENSMUSG00000063179","Pstk",1,"SE",0.185
"ENSMUSG00000063354","Slc39a4",1,"SE",0.1
"ENSMUSG00000063765","Chadl",1,"SE",0.26
"ENSMUSG00000063894","Zkscan8",2,"SE",0.395
"ENSMUSG00000064263","Platr26",3,"SE,MXE",0.317
"ENSMUSG00000066036","Ubr4",1,"SE",0.162
"ENSMUSG00000066057","Gm1976",2,"SE",0.667
"ENSMUSG00000066735","Vkorc1l1",1,"SE",0.158
"ENSMUSG00000067629","Syngap1",1,"SE",0.204
"ENSMUSG00000068699","Flnc",1,"SE",0.169
"ENSMUSG00000068762","Gstm6",1,"SE",0.243
"ENSMUSG00000068917","Clk2",1,"RI",0.117
"ENSMUSG00000069255","Dusp22",1,"RI",0.173
"ENSMUSG00000069601","Ank3",1,"SE",0.129
"ENSMUSG00000069769","Msi2",2,"A3SS,MXE",0.109
"ENSMUSG00000070564","Ntn5",1,"SE",0.241
"ENSMUSG00000070577","Gm572",1,"SE",0.148
"ENSMUSG00000071103","1700029J07Rik",1,"RI",0.174
"ENSMUSG00000071176","Arhgef10",1,"SE",0.117
"ENSMUSG00000071337","Tia1",1,"SE",0.12
"ENSMUSG00000073016","Uprt",1,"SE",0.115
"ENSMUSG00000073147","5031425E22Rik",1,"SE",0.281
"ENSMUSG00000073236","2500004C02Rik",1,"SE",0.22
"ENSMUSG00000073427","Gm4924",1,"SE",0.426
"ENSMUSG00000073437","D330041H03Rik",1,"MXE",0.21
"ENSMUSG00000073448","Gm10509",1,"SE",0.378
"ENSMUSG00000074141","Il4i1",1,"SE",0.338
"ENSMUSG00000074165","Zfp788",5,"SE,MXE",0.224
"ENSMUSG00000074219","Gm10644",1,"SE",0.284
"ENSMUSG00000074863","Platr25",5,"SE,MXE",0.404
"ENSMUSG00000074887","EU599041",2,"SE",0.178
"ENSMUSG00000074923","Pak6",1,"RI",0.472
"ENSMUSG00000079334","Naa80",1,"MXE",0.101
"ENSMUSG00000085741","5430405H02Rik",1,"A3SS",0.149
"ENSMUSG00000086035","Gm12610",6,"SE,MXE",0.478
"ENSMUSG00000086390","1810019D21Rik",2,"A3SS,RI",0.189
"ENSMUSG00000086453","Gm11457",1,"SE",0.143
"ENSMUSG00000086454","Platr14",2,"A5SS,RI",0.354
"ENSMUSG00000086610","Gm15408",1,"SE",0.48
"ENSMUSG00000086629","2810403D21Rik",1,"SE",0.177
"ENSMUSG00000086995","Gm13544",1,"SE",0.177
"ENSMUSG00000087143","A830082K12Rik",1,"SE",0.291
"ENSMUSG00000087305","A430035B10Rik",1,"SE",0.435
"ENSMUSG00000089844","A530032D15Rik",1,"SE",0.147
"ENSMUSG00000090086","AI480526",2,"A5SS",0.631
"ENSMUSG00000091472","Gm3739",1,"SE",0.271
"ENSMUSG00000091568","Gm8206",1,"SE",0.23
"ENSMUSG00000092569","Gm20544",2,"A3SS,RI",0.439
"ENSMUSG00000093460","Six3os1",2,"A3SS,RI",0.24
"ENSMUSG00000094724","Rnaset2b",1,"RI",0.123
"ENSMUSG00000096965","3300005D01Rik",1,"SE",0.152
"ENSMUSG00000097039","Pvt1",7,"SE,MXE",0.229
"ENSMUSG00000097068","Gm26760",3,"SE,A3SS",0.365
"ENSMUSG00000097125","Gm26885",1,"SE",0.146
"ENSMUSG00000097277","2900076A07Rik",1,"A3SS",0.135
"ENSMUSG00000097451","Rian",2,"SE,A5SS",0.296
"ENSMUSG00000097571","Jpx",1,"SE",0.159
"ENSMUSG00000097755","2010110K18Rik",2,"SE,RI",0.268
"ENSMUSG00000097852","4933405D12Rik",1,"SE",0.343
"ENSMUSG00000098055","Gm26947",1,"SE",0.174
"ENSMUSG00000098912","1500004A13Rik",3,"SE",0.277
"ENSMUSG00000100826","Snhg14",1,"MXE",0.198
"ENSMUSG00000102976","Zc3h11a",2,"SE",0.361
"ENSMUSG00000110605","Gm32856",1,"SE",0.247
"ENSMUSG00000110631","Gm42047",1,"SE",0.356
"ENSMUSG00000111447","Gm48249",1,"SE",0.34
"ENSMUSG00000112964","E430024I08Rik",2,"SE",0.217
"ENSMUSG00000113204","Gm46430",1,"SE",0.268
